Directory,File Name,Function Types,Function Params,Function Names
app/assets,commandLineHandler.js,,,
app/assets,prefs.js,,,
chrome/content/scaffold,content.js,ClassMethod,,receiveMessage
chrome/content/scaffold,content.js,FunctionDeclaration,,onLoad
chrome/content/scaffold,load.js,,,
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,,onLoadBegin
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,,onLoadComplete
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,num,lineNumbers
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,model,provideCodeLenses
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,_token,provideCodeLenses
chrome/content/scaffold,scaffold.js,ClassMethod,,dispose
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,_model,resolveCodeLens
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,codeLens,resolveCodeLens
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,_token,resolveCodeLens
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,model,provideHover
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,position,provideHover
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,model,provideCodeLenses
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,_token,provideCodeLenses
chrome/content/scaffold,scaffold.js,ClassMethod,,dispose
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,_model,resolveCodeLens
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,codeLens,resolveCodeLens
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,_token,resolveCodeLens
chrome/content/scaffold,scaffold.js,ClassMethod,model,provideCompletionItems
chrome/content/scaffold,scaffold.js,ClassMethod,position,provideCompletionItems
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_getMetadataObject
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_getCode
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,functionToRun,_run
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,input,_run
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,selectItems,_run
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,itemDone,_run
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,detectHandler,_run
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,done,_run
chrome/content/scaffold,scaffold.js,FunctionDeclaration,browser,_testTargetRegex
chrome/content/scaffold,scaffold.js,FunctionDeclaration,obj,_selectItems
chrome/content/scaffold,scaffold.js,FunctionDeclaration,itemList,_selectItems
chrome/content/scaffold,scaffold.js,FunctionDeclaration,obj,_error
chrome/content/scaffold,scaffold.js,FunctionDeclaration,error,_error
chrome/content/scaffold,scaffold.js,FunctionDeclaration,obj,_debug
chrome/content/scaffold,scaffold.js,FunctionDeclaration,string,_debug
chrome/content/scaffold,scaffold.js,FunctionDeclaration,obj,_myItemDone
chrome/content/scaffold,scaffold.js,FunctionDeclaration,jsonItem,_myItemDone
chrome/content/scaffold,scaffold.js,FunctionDeclaration,[ComplexParam],_myExportDone
chrome/content/scaffold,scaffold.js,FunctionDeclaration,worked,_myExportDone
chrome/content/scaffold,scaffold.js,FunctionDeclaration,fnName,_getTranslatorsHandler
chrome/content/scaffold,scaffold.js,FunctionDeclaration,string,_logOutput
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_getImport
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_getExport
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_getSearch
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,typeOrMethod,_getInput
chrome/content/scaffold,scaffold.js,FunctionDeclaration,translator,_metaToTranslator
chrome/content/scaffold,scaffold.js,FunctionDeclaration,metadata,_metaToTranslator
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_getTranslatorFromPane
chrome/content/scaffold,scaffold.js,FunctionDeclaration,code,_splitTranslator
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_loadTestsFromPane
chrome/content/scaffold,scaffold.js,FunctionDeclaration,editor,_writeToEditor
chrome/content/scaffold,scaffold.js,FunctionDeclaration,text,_writeToEditor
chrome/content/scaffold,scaffold.js,FunctionDeclaration,tests,_writeTestsToPane
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_confirmCreateExpectedFailTest
chrome/content/scaffold,scaffold.js,FunctionDeclaration,test,_sanitizeItemsInTest
chrome/content/scaffold,scaffold.js,FunctionDeclaration,value,_stringifyTests
chrome/content/scaffold,scaffold.js,FunctionDeclaration,level,_stringifyTests
chrome/content/scaffold,scaffold.js,FunctionDeclaration,key,processRow
chrome/content/scaffold,scaffold.js,FunctionDeclaration,value,processRow
chrome/content/scaffold,scaffold.js,FunctionDeclaration,elem,wrapWithHBox
chrome/content/scaffold,scaffold.js,FunctionDeclaration,[ComplexParam],wrapWithHBox
chrome/content/scaffold,scaffold.js,FunctionExpression,tests,TestUpdater
chrome/content/scaffold,scaffold.js,FunctionDeclaration,text,normalizeWhitespace
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_clearOutput
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_generateGUID
chrome/content/scaffold,scaffold.js,FunctionDeclaration,browser,_getCurrentURI
chrome/content/scaffold,scaffold.js,FunctionDeclaration,monaco,_findTestObjectTops
chrome/content/scaffold,scaffold.js,FunctionDeclaration,model,_findTestObjectTops
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,getDefaultESLintPath
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,,getESLintPath
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,,runESLint
chrome/content/scaffold,scaffold.js,FunctionDeclaration,output,eslintOutputToModelMarkers
chrome/content/scaffold,scaffold.js,FunctionDeclaration,modelVersionId,eslintOutputToModelMarkers
chrome/content/scaffold,scaffold.js,FunctionDeclaration,test,getTestLabel
chrome/content/scaffold,scaffold.js,FunctionDeclaration,tab,_showTab
chrome/content/scaffold,scaffold.js,FunctionDeclaration,,_getActiveEditorName
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,,_getGitBranchName
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,,_updateTitle
chrome/content/scaffold,scaffoldItemPreview.js,ClassMethod,,jsonItem
chrome/content/scaffold,scaffoldItemPreview.js,ClassMethod,jsonItem,jsonItem
chrome/content/scaffold,scaffoldItemPreview.js,ClassMethod,,init
chrome/content/scaffold,scaffoldItemPreview.js,ClassMethod,,render
chrome/content/scaffold,scaffoldItemPreviews.js,ClassMethod,,jsonItems
chrome/content/scaffold,scaffoldItemPreviews.js,ClassMethod,jsonItems,jsonItems
chrome/content/scaffold,scaffoldItemPreviews.js,ClassMethod,,init
chrome/content/scaffold,scaffoldItemPreviews.js,ClassMethod,,render
chrome/content/scaffold,select.js,FunctionExpression,,Zotero_Ingester_Interface_SelectItems
chrome/content/scaffold/templates,newWeb.js,FunctionDeclaration,doc,detectWeb
chrome/content/scaffold/templates,newWeb.js,FunctionDeclaration,url,detectWeb
chrome/content/scaffold/templates,newWeb.js,FunctionDeclaration,doc,getSearchResults
chrome/content/scaffold/templates,newWeb.js,FunctionDeclaration,checkOnly,getSearchResults
chrome/content/scaffold/templates,newWeb.js,AsyncFunctionDeclaration,doc,doWeb
chrome/content/scaffold/templates,newWeb.js,AsyncFunctionDeclaration,url,doWeb
chrome/content/scaffold/templates,newWeb.js,AsyncFunctionDeclaration,doc,scrape
chrome/content/scaffold/templates,newWeb.js,AsyncFunctionDeclaration,url,scrape
chrome/content/scaffold/templates,scrapeBibTeX.js,AsyncFunctionDeclaration,doc,scrape
chrome/content/scaffold/templates,scrapeBibTeX.js,AsyncFunctionDeclaration,url,scrape
chrome/content/scaffold/templates,scrapeEM.js,AsyncFunctionDeclaration,doc,scrape
chrome/content/scaffold/templates,scrapeEM.js,AsyncFunctionDeclaration,url,scrape
chrome/content/scaffold/templates,scrapeMARC.js,AsyncFunctionDeclaration,doc,scrape
chrome/content/scaffold/templates,scrapeMARC.js,AsyncFunctionDeclaration,url,scrape
chrome/content/scaffold/templates,scrapeRIS.js,AsyncFunctionDeclaration,doc,scrape
chrome/content/scaffold/templates,scrapeRIS.js,AsyncFunctionDeclaration,url,scrape
chrome/content/scaffold,translators.js,AsyncObjectPropertyFunction,translatorID,deleteByID
chrome/content/scaffold,translators.js,ObjectPropertyFunction,,getDirectory
chrome/content/scaffold,translators.js,ObjectPropertyFunction,translatorID,getModifiedTime
chrome/content/scaffold,translators.js,ObjectPropertyFunction,,getProvider
chrome/content/scaffold,translators.js,ClassMethod,[ComplexParam],setLoadListener
chrome/content/zotero/ace,aceWrapper.js,,,
chrome/content/zotero/actors,actorUtils.mjs,AsyncFunctionDeclaration,document,documentIsReady
chrome/content/zotero/actors,actorUtils.mjs,AsyncFunctionDeclaration,[ComplexParam],documentIsReady
chrome/content/zotero/actors,actorUtils.mjs,FunctionDeclaration,readyState,readyEnough
chrome/content/zotero/actors,actorUtils.mjs,AsyncFunctionDeclaration,event,onChange
chrome/content/zotero/actors/translation,http.js,ObjectPropertyFunction,t,get
chrome/content/zotero/actors/translation,http.js,ObjectPropertyFunction,prop,get
chrome/content/zotero/actors/translation,translate_item.js,,,
chrome/content/zotero,advancedSearch.js,AsyncFunctionDeclaration,,onLoad
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isSearchMode
chrome/content/zotero,advancedSearch.js,AsyncObjectPropertyFunction,,getItems
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isLibrary
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isCollection
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isSearch
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isPublications
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isDuplicates
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isFeed
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isFeeds
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isFeedsOrFeed
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isShare
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isTrash
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isSearch
chrome/content/zotero,advancedSearch.js,FunctionDeclaration,,search
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isSearchMode
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,,isSearch
chrome/content/zotero,advancedSearch.js,AsyncObjectPropertyFunction,,getItems
chrome/content/zotero,advancedSearch.js,FunctionDeclaration,,clear
chrome/content/zotero,advancedSearch.js,FunctionDeclaration,event,onItemActivate
chrome/content/zotero,advancedSearch.js,FunctionDeclaration,items,onItemActivate
chrome/content/zotero,attachLink.js,FunctionDeclaration,,getAttachFileLabel
chrome/content/zotero,bibliography.js,,,
chrome/content/zotero,browserWindowShim.js,ClassMethod,,_openURIInNewTab
chrome/content/zotero,browserWindowShim.js,ClassMethod,aURI,createContentWindow
chrome/content/zotero,browserWindowShim.js,ClassMethod,aOpenWindowInfo,createContentWindow
chrome/content/zotero,browserWindowShim.js,ClassMethod,aWhere,createContentWindow
chrome/content/zotero,browserWindowShim.js,ClassMethod,aFlags,createContentWindow
chrome/content/zotero,browserWindowShim.js,ClassMethod,aTriggeringPrincipal,createContentWindow
chrome/content/zotero,browserWindowShim.js,ClassMethod,aCsp,createContentWindow
chrome/content/zotero,browserWindowShim.js,ClassMethod,aURI,createContentWindowInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aParams,createContentWindowInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aWhere,createContentWindowInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aFlags,createContentWindowInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aName,createContentWindowInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aURI,openURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aOpenWindowInfo,openURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aWhere,openURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aFlags,openURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aTriggeringPrincipal,openURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aCsp,openURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aURI,openURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aParams,openURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aWhere,openURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aFlags,openURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aName,openURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aURI,getContentWindowOrOpenURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aOpenWindowInfo,getContentWindowOrOpenURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aWhere,getContentWindowOrOpenURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aFlags,getContentWindowOrOpenURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aTriggeringPrincipal,getContentWindowOrOpenURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aCsp,getContentWindowOrOpenURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aSkipLoad,getContentWindowOrOpenURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,aURI,getContentWindowOrOpenURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aParams,getContentWindowOrOpenURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aWhere,getContentWindowOrOpenURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aFlags,getContentWindowOrOpenURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aName,getContentWindowOrOpenURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,aSkipLoad,getContentWindowOrOpenURIInFrame
chrome/content/zotero,browserWindowShim.js,ClassMethod,,canClose
chrome/content/zotero,browserWindowShim.js,ClassMethod,,tabCount
chrome/content/zotero,captcha.js,,,
chrome/content/zotero,charsetMenu.js,FunctionDeclaration,charsetMenu,populate
chrome/content/zotero,charsetMenu.js,FunctionDeclaration,exportMenu,populate
chrome/content/zotero,collectionTree.jsx,,,
chrome/content/zotero,commonDialog.js,,,
chrome/content/zotero/components,annotation.jsx,,,
chrome/content/zotero/components,button.jsx,,,
chrome/content/zotero/components/createParent,createParent.jsx,,,
chrome/content/zotero/components,draggable.jsx,ClassMethod,,componentWillUnmount
chrome/content/zotero/components,draggable.jsx,ClassMethod,,clear
chrome/content/zotero/components,draggable.jsx,ClassMethod,,render
chrome/content/zotero/components,editable.jsx,,,
chrome/content/zotero/components/editable,content.jsx,,,
chrome/content/zotero/components/form,input.jsx,,,
chrome/content/zotero/components/form,select.jsx,,,
chrome/content/zotero/components/form,textArea.jsx,,,
chrome/content/zotero/components,icons.jsx,,,
chrome/content/zotero/components,progressQueueTable.jsx,,,
chrome/content/zotero/components,search.jsx,,,
chrome/content/zotero/components,tabBar.jsx,,,
chrome/content/zotero/components,tagSelector.jsx,,,
chrome/content/zotero/components/tagSelector,tagSelectorList.jsx,,,
chrome/content/zotero/components,tooltip.js,FunctionDeclaration,,handleMouseDown
chrome/content/zotero/components,tooltip.js,FunctionDeclaration,event,handleMouseMove
chrome/content/zotero/components,tooltip.js,FunctionDeclaration,,handleMouseStop
chrome/content/zotero/components,tooltip.js,FunctionDeclaration,,hidePopup
chrome/content/zotero/components,utils.js,FunctionExpression,,noop
chrome/content/zotero/components,utils.js,FunctionDeclaration,event,getDragTargetOrient
chrome/content/zotero/components,utils.js,FunctionDeclaration,target,getDragTargetOrient
chrome/content/zotero/components,utils.js,FunctionDeclaration,[ComplexParam],createDragHandler
chrome/content/zotero/components,utils.js,FunctionDeclaration,event,onKeyDown
chrome/content/zotero/components,utils.js,FunctionDeclaration,,onDragStart
chrome/content/zotero/components,utils.js,FunctionDeclaration,event,onDragStop
chrome/content/zotero/components,utils.js,FunctionExpression,prefix,nextHTMLID
chrome/content/zotero/components,utils.js,FunctionExpression,element,scrollIntoViewIfNeeded
chrome/content/zotero/components,utils.js,FunctionExpression,container,scrollIntoViewIfNeeded
chrome/content/zotero/components,utils.js,FunctionExpression,opts,scrollIntoViewIfNeeded
chrome/content/zotero/components,utils.js,FunctionExpression,ev,stopPropagation
chrome/content/zotero/components,utils.js,FunctionExpression,object,omit
chrome/content/zotero/components,utils.js,FunctionExpression,deleteKeys,omit
chrome/content/zotero/components,utils.js,FunctionExpression,object,pick
chrome/content/zotero/components,utils.js,FunctionExpression,pickKeys,pick
chrome/content/zotero/components,virtualized-table.jsx,,,
chrome/content/zotero/components,windowed-list.js,ClassMethod,options,constructor
chrome/content/zotero/components,windowed-list.js,ClassMethod,,initialize
chrome/content/zotero/components,windowed-list.js,ClassMethod,,destroy
chrome/content/zotero/components,windowed-list.js,ClassMethod,index,rerenderItem
chrome/content/zotero/components,windowed-list.js,ClassMethod,,invalidate
chrome/content/zotero/components,windowed-list.js,ClassMethod,,render
chrome/content/zotero/components,windowed-list.js,ClassMethod,options,update
chrome/content/zotero/components,windowed-list.js,ClassMethod,,getWindowHeight
chrome/content/zotero/components,windowed-list.js,ClassMethod,scrollOffset,scrollTo
chrome/content/zotero/components,windowed-list.js,ClassMethod,index,scrollToRow
chrome/content/zotero/components,windowed-list.js,ClassMethod,,getFirstVisibleRow
chrome/content/zotero/components,windowed-list.js,ClassMethod,,getLastVisibleRow
chrome/content/zotero/components,windowed-list.js,ClassMethod,,_getRangeToRender
chrome/content/zotero/components,windowed-list.js,ClassMethod,,_getItemCount
chrome/content/zotero/components,windowed-list.js,ClassMethod,array,_binarySearchOffsets
