Directory,File Name,Function Types,Function Names,Function Params
app/assets,commandLineHandler.js,NONE,NONE,NONE
app/assets,prefs.js,NONE,NONE,NONE
chrome/content/scaffold,content.js,ClassMethod,receiveMessage,NONE
chrome/content/scaffold,content.js,FunctionDeclaration,onLoad,NONE
chrome/content/scaffold,load.js,NONE,NONE,NONE
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,onLoadBegin,NONE
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,onLoadComplete,NONE
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,lineNumbers,num
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,provideCodeLenses,model
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,provideCodeLenses,_token
chrome/content/scaffold,scaffold.js,ClassMethod,dispose,NONE
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,resolveCodeLens,_model
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,resolveCodeLens,codeLens
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,resolveCodeLens,_token
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,provideHover,model
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,provideHover,position
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,provideCodeLenses,model
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,provideCodeLenses,_token
chrome/content/scaffold,scaffold.js,ClassMethod,dispose,NONE
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,resolveCodeLens,_model
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,resolveCodeLens,codeLens
chrome/content/scaffold,scaffold.js,ObjectPropertyFunction,resolveCodeLens,_token
chrome/content/scaffold,scaffold.js,ClassMethod,provideCompletionItems,model
chrome/content/scaffold,scaffold.js,ClassMethod,provideCompletionItems,position
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_getMetadataObject,NONE
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_getCode,NONE
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,_run,functionToRun
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,_run,input
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,_run,selectItems
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,_run,itemDone
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,_run,detectHandler
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,_run,done
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_testTargetRegex,browser
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_selectItems,obj
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_selectItems,itemList
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_error,obj
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_error,error
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_debug,obj
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_debug,string
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_myItemDone,obj
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_myItemDone,jsonItem
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_myExportDone,[ComplexParam]
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_myExportDone,worked
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_getTranslatorsHandler,fnName
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_logOutput,string
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_getImport,NONE
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_getExport,NONE
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_getSearch,NONE
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,_getInput,typeOrMethod
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_metaToTranslator,translator
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_metaToTranslator,metadata
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_getTranslatorFromPane,NONE
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_splitTranslator,code
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_loadTestsFromPane,NONE
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_writeToEditor,editor
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_writeToEditor,text
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_writeTestsToPane,tests
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_confirmCreateExpectedFailTest,NONE
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_sanitizeItemsInTest,test
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_stringifyTests,value
chrome/content/scaffold,scaffold.js,FunctionDeclaration,_stringifyTests,level
chrome/content/scaffold,scaffold.js,FunctionDeclaration,processRow,key
chrome/content/scaffold,scaffold.js,FunctionDeclaration,processRow,value
chrome/content/scaffold,scaffold.js,FunctionDeclaration,wrapWithHBox,elem
