,File Type,Directory,File Name,Functions,Imports
15,Javascript,app/assets,commandLineHandler.js,[],[]
18,Javascript,app/assets,prefs.js,[],[]
317,Javascript,chrome/content/scaffold,content.js,['onLoad'],[]
318,Javascript,chrome/content/scaffold,load.js,[],[]
321,Javascript,chrome/content/scaffold,scaffold.js,"['_getMetadataObject', '_getCode', '_run', '_testTargetRegex', '_selectItems', '_error', '_debug', '_myItemDone', '_myExportDone', '_getTranslatorsHandler', '_logOutput', '_getImport', '_getExport', '_getSearch', '_getInput', '_metaToTranslator', '_getTranslatorFromPane', '_splitTranslator', '_loadTestsFromPane', '_writeToEditor', '_writeTestsToPane', '_confirmCreateExpectedFailTest', '_sanitizeItemsInTest', '_stringifyTests', 'processRow', 'wrapWithHBox', 'TestUpdater', 'normalizeWhitespace', '_clearOutput', '_generateGUID', '_getCurrentURI', '_findTestObjectTops', 'getDefaultESLintPath', 'getESLintPath', 'runESLint', 'eslintOutputToModelMarkers', 'getTestLabel', '_showTab', '_getActiveEditorName', '_getGitBranchName', '_updateTitle']",[]
323,Javascript,chrome/content/scaffold,scaffoldItemPreview.js,[],[]
324,Javascript,chrome/content/scaffold,scaffoldItemPreviews.js,[],[]
325,Javascript,chrome/content/scaffold,select.js,['Zotero_Ingester_Interface_SelectItems'],[]
327,Javascript,chrome/content/scaffold/templates,newWeb.js,"['detectWeb', 'getSearchResults', 'doWeb', 'scrape']",[]
328,Javascript,chrome/content/scaffold/templates,scrapeBibTeX.js,['scrape'],[]
329,Javascript,chrome/content/scaffold/templates,scrapeEM.js,['scrape'],[]
330,Javascript,chrome/content/scaffold/templates,scrapeMARC.js,['scrape'],[]
331,Javascript,chrome/content/scaffold/templates,scrapeRIS.js,['scrape'],[]
332,Javascript,chrome/content/scaffold,translators.js,[],[]
368,Javascript,chrome/content/zotero/ace,aceWrapper.js,[],[]
385,Javascript,chrome/content/zotero/actors,actorUtils.mjs,"['documentIsReady', 'readyEnough', 'onChange']",['setTimeout']
386,Javascript,chrome/content/zotero/actors/translation,http.js,[],[]
387,Javascript,chrome/content/zotero/actors/translation,translate_item.js,[],[]
388,Javascript,chrome/content/zotero,advancedSearch.js,"['onLoad', 'search', 'clear', 'onItemActivate']","['ItemTree', 'COLUMNS']"
390,Javascript,chrome/content/zotero,attachLink.js,['getAttachFileLabel'],[]
392,Javascript,chrome/content/zotero,bibliography.js,[],[]
394,Javascript,chrome/content/zotero,browserWindowShim.js,[],[]
395,Javascript,chrome/content/zotero,captcha.js,[],[]
397,Javascript,chrome/content/zotero,charsetMenu.js,['populate'],[]
398,Javascript,chrome/content/zotero,collectionTree.jsx,[],[]
399,Javascript,chrome/content/zotero,commonDialog.js,[],[]
400,Javascript,chrome/content/zotero/components,annotation.jsx,[],[]
401,Javascript,chrome/content/zotero/components,button.jsx,[],[]
402,Javascript,chrome/content/zotero/components/createParent,createParent.jsx,[],[]
403,Javascript,chrome/content/zotero/components,draggable.jsx,[],[]
404,Javascript,chrome/content/zotero/components,editable.jsx,[],[]
405,Javascript,chrome/content/zotero/components/editable,content.jsx,[],[]
406,Javascript,chrome/content/zotero/components/form,input.jsx,[],[]
407,Javascript,chrome/content/zotero/components/form,select.jsx,[],[]
408,Javascript,chrome/content/zotero/components/form,textArea.jsx,[],[]
409,Javascript,chrome/content/zotero/components,icons.jsx,[],[]
410,Javascript,chrome/content/zotero/components,progressQueueTable.jsx,[],[]
411,Javascript,chrome/content/zotero/components,search.jsx,[],[]
412,Javascript,chrome/content/zotero/components,tabBar.jsx,[],[]
413,Javascript,chrome/content/zotero/components,tagSelector.jsx,[],[]
414,Javascript,chrome/content/zotero/components/tagSelector,tagSelectorList.jsx,[],[]
415,Javascript,chrome/content/zotero/components,tooltip.js,"['handleMouseDown', 'handleMouseMove', 'handleMouseStop', 'hidePopup']",[]
416,Javascript,chrome/content/zotero/components,utils.js,"['noop', 'getDragTargetOrient', 'createDragHandler', 'onKeyDown', 'onDragStart', 'onDragStop', 'nextHTMLID', 'scrollIntoViewIfNeeded', 'stopPropagation', 'omit', 'pick']",[]
