Original Directory,Directory,File Name,Matched File Name
chrome/content/zotero/xpcom,chrome/content/zotero/xpcom/zotero.js,zotero.js,zotero.js
chrome/content/zotero/xpcom,chrome/content/zotero/xpcom/session.js,session.js,zotero.js
chrome/content/zotero/xpcom,app/build.sh,build.sh,zotero.js
chrome/content/zotero/xpcom,chrome/content/zotero/zotero.mjs,zotero.mjs,zotero.js
chrome/content/zotero/xpcom,chrome/content/zotero/actors/TranslationChild.jsm,TranslationChild.jsm,zotero.js
chrome/content/zotero/xpcom,chrome/content/zotero/xpcom/streamer.js,streamer.js,zotero.js
chrome/content/zotero/xpcom,chrome/content/zotero/RemoteTranslate.jsm,RemoteTranslate.jsm,zotero.js
chrome/content/zotero/xpcom,chrome/content/zotero/xpcom/schema.js,schema.js,zotero.js
chrome/content/zotero/xpcom,chrome/content/zotero/xpcom/data/cachedTypes.js,cachedTypes.js,zotero.js
chrome/content/zotero/xpcom,chrome/content/zotero/xpcom/sync/syncRunner.js,syncRunner.js,zotero.js
chrome/content/zotero/xpcom,chrome/skin/default/zotero/timeline/timelineControls.js,timelineControls.js,zotero.js
chrome/content/zotero/xpcom,js-build/ftl-to-json.mjs,ftl-to-json.mjs,zotero.js
chrome/content/zotero/xpcom,js-build/localize-ftl.mjs,localize-ftl.mjs,zotero.js
chrome/content/zotero,chrome/content/scaffold/load.xhtml,load.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/attachLink.xhtml,attachLink.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/searchDialog.xhtml,searchDialog.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/progressWindow.xhtml,progressWindow.xhtml,titlebar.js
chrome/content/zotero,chrome/content/scaffold/select.xhtml,select.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/merge.xhtml,merge.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/integration/progressBar.xhtml,progressBar.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/integration/quickFormat.js,quickFormat.js,titlebar.js
chrome/content/zotero,chrome/content/zotero/tagColorChooser.xhtml,tagColorChooser.xhtml,titlebar.js
chrome/content/zotero,chrome/content/scaffold/scaffold.xhtml,scaffold.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/longTagFixer.xhtml,longTagFixer.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/feedSettings.xhtml,feedSettings.xhtml,titlebar.js
chrome/content/zotero,app/scripts/fetch_xulrunner,fetch_xulrunner,titlebar.js
chrome/content/zotero,chrome/content/zotero/zoteroPane.xhtml,zoteroPane.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/newCollectionDialog.xhtml,newCollectionDialog.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/exportOptions.xhtml,exportOptions.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/selectItemsDialog.xhtml,selectItemsDialog.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/integration/quickFormat.xhtml,quickFormat.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/integration/citationDialog.xhtml,citationDialog.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/createParentDialog.xhtml,createParentDialog.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/bibliography.xhtml,bibliography.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/integration/insertNoteDialog.xhtml,insertNoteDialog.xhtml,titlebar.js
chrome/content/zotero,chrome/content/zotero/customElements.js,customElements.js,customElements.js
chrome/content/zotero,scss/xulElementPatches/README.md,README.md,customElements.js
chrome/content/zotero,scss/xulElementPatches/wizard.scss,wizard.scss,customElements.js
chrome/content/zotero,chrome/content/zotero/searchDialog.xhtml,searchDialog.xhtml,customElements.js
chrome/content/zotero,scss/xulElementPatches/dialog-mac.scss,dialog-mac.scss,customElements.js
chrome/content/zotero,chrome/content/zotero/bibliography.xhtml,bibliography.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/merge.xhtml,merge.xhtml,customElements.js
chrome/content/zotero,app/scripts/fetch_xulrunner,fetch_xulrunner,customElements.js
chrome/content/zotero,chrome/content/zotero/about.xhtml,about.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/newCollectionDialog.xhtml,newCollectionDialog.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/selectItemsDialog.xhtml,selectItemsDialog.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/preferences/preferences.xhtml,preferences.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/integration/citationExplorer.xhtml,citationExplorer.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/integration/quickFormat.js,quickFormat.js,customElements.js
chrome/content/zotero,chrome/content/scaffold/load.js,load.js,customElements.js
chrome/content/zotero,chrome/content/scaffold/scaffold.xhtml,scaffold.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/feedSettings.xhtml,feedSettings.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/zoteroPane.xhtml,zoteroPane.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/integration/integrationDocPrefs.xhtml,integrationDocPrefs.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/rtfScan.xhtml,rtfScan.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/publicationsDialog.xhtml,publicationsDialog.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/advancedSearch.xhtml,advancedSearch.xhtml,customElements.js
chrome/content/zotero,scss/xulElementPatches/wizard-win.scss,wizard-win.scss,customElements.js
chrome/content/zotero,chrome/content/zotero/integration/citationDialog.xhtml,citationDialog.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/integration/addCitationDialog.xhtml,addCitationDialog.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/note.xhtml,note.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/exportOptions.xhtml,exportOptions.xhtml,customElements.js
chrome/content/zotero,chrome/content/zotero/update/update-header.js,update-header.js,customElements.js
chrome/content/zotero,chrome/content/zotero/tagColorChooser.xhtml,tagColorChooser.xhtml,customElements.js
chrome/content/zotero,scss/xulElementPatches/dialog-win.scss,dialog-win.scss,customElements.js
chrome/content/scaffold,chrome/content/scaffold/scaffold.js,scaffold.js,content.js
chrome/content/scaffold,chrome/content/zotero/standalone/basicViewer.js,basicViewer.js,content.js
chrome/content/scaffold,chrome/content/zotero/actors/TranslationChild.jsm,TranslationChild.jsm,content.js
chrome/content/zotero,resource/citeproc_rs_wasm_include.js,citeproc_rs_wasm_include.js,include.js
chrome/content/zotero,chrome/content/zotero/runJS.html,runJS.html,include.js
chrome/content/zotero,chrome/content/zotero/ace/ace.html,ace.html,include.js
chrome/content/zotero,chrome/content/zotero/attachLink.xhtml,attachLink.xhtml,include.js
chrome/content/zotero,.babelrc,.babelrc,include.js
chrome/content/zotero,chrome/content/zotero/exportOptions.xhtml,exportOptions.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/bibliography.xhtml,bibliography.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/createParentDialog.xhtml,createParentDialog.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/captcha.xul,captcha.xul,include.js
chrome/content/zotero,chrome/content/zotero/customElements.js,customElements.js,include.js
chrome/content/zotero,chrome/content/zotero/progressQueueDialog.xhtml,progressQueueDialog.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/tools/build_typeSchemaData.html,build_typeSchemaData.html,include.js
chrome/content/zotero,chrome/content/zotero/preferences/librariesToSync.xhtml,librariesToSync.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/standalone/updatesOverlay.xul,updatesOverlay.xul,include.js
chrome/content/zotero,chrome/content/zotero/import/mendeley/mendeleyImport.js,mendeleyImport.js,include.js
chrome/content/zotero,chrome/content/zotero/errorReport.xhtml,errorReport.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/integration/integrationDocPrefs.xhtml,integrationDocPrefs.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/integration/citationDialog.xhtml,citationDialog.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/proxy.xul,proxy.xul,include.js
chrome/content/zotero,chrome/content/zotero/searchDialog.xhtml,searchDialog.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/merge.xhtml,merge.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/integration/insertNoteDialog.xhtml,insertNoteDialog.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/longTagFixer.xhtml,longTagFixer.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/note.xhtml,note.xhtml,include.js
chrome/content/zotero,chrome/skin/default/zotero/timeline/timeline.html,timeline.html,include.js
chrome/content/zotero,chrome/content/zotero/xpcom/citeprocRsBridge.js,citeprocRsBridge.js,include.js
chrome/content/zotero,chrome/content/zotero/dictionaryManager.xhtml,dictionaryManager.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/tagColorChooser.xhtml,tagColorChooser.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/advancedSearch.xhtml,advancedSearch.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/integration/citationExplorer.xhtml,citationExplorer.xhtml,include.js
chrome/content/zotero,chrome/content/zotero/createParentDialog.xhtml,createParentDialog.xhtml,createParentDialog.js
chrome/content/zotero,chrome/content/zotero/advancedSearch.xhtml,advancedSearch.xhtml,advancedSearch.js
chrome/content/zotero/integration,chrome/content/zotero/xpcom/integration.js,integration.js,addCitationDialog.js
chrome/content/zotero/integration,chrome/content/zotero/xpcom/editorInstance.js,editorInstance.js,addCitationDialog.js
chrome/content/zotero/integration,chrome/content/zotero/integration/addCitationDialog.xhtml,addCitationDialog.xhtml,addCitationDialog.js
chrome/content/zotero,chrome/content/zotero/customElements.js,customElements.js,contextPane.js
chrome/content/zotero,chrome/content/zotero/zoteroPane.xhtml,zoteroPane.xhtml,contextPane.js
chrome/content/zotero/integration,chrome/content/zotero/integration/editBibliographyDialog.xhtml,editBibliographyDialog.xhtml,editBibliographyDialog.js
